domicilio,servicios-con-los-que-cuenta,capacidad-de-familias,capacidad-de-personas,nombre-del-municipio,region,entidad,nombre-del-enlace-regional,uso-del-inmueble,nombre-de-la-localidad,coordenada-y,nombre-del-inmueble,coordenada-x
FRENTE AL PARQUE CENTRAL,"AGUA, LUZ, SANITARIOS",37.0,150.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,IGLESIA,IXMATLAHUACAN,18.449036,CASA PARROQUIAL,-95.830022
FRENTE AL PARQUE CENTRAL,"AGUA, LUZ, SANITARIOS",25.0,100.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,IGLESIA,CHICALPEXTLE,18.38872,PARROQUIA LA GUADALUPANA,-95.82947
PARQUE CENTRAL,"AGUA, LUZ, DRENAJE",25.0,100.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,IGLESIA,MOZAPA,18.402085,PARROQUIA SRA. DEL CARMEN,-95.848076
AVENIDA PORFIRIO DIAZ SIN NUMERO,"AGUA, LUZ, DRENAJE",37.0,150.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,IXMATALAHUACAN,18.448084,SALON EJIDAL,-95.830328
FRENTE AL PARQUE CENTRAL,"AGUA, LUZ, DRENAJE",37.0,150.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,PACHUCA,18.413865,SALON EJIDAL,-95.84948
JUNTO A LA ESCUELA PRIMARIA FELIPE ANGELES,"AGUA, LUZ, DRENAJE",75.0,300.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,MOZAPA,18.402016,SALON EJIDAL,-95.848472
FRENTE AL PARQUE CENTRAL,"AGUA, LUZ, DRENAJE",37.0,150.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,CHICALPEXTLE,18.388095,SALON EJIDAL,-95.829564
FRENTE AL PARQUE CENTRAL,"AGUA, LUZ, DRENAJE",75.0,300.0,IXMATLAHUACAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,IXMATALAHUACAN,18.448925,SALON SOCIAL,-95.829613
PLAZA HIDALDO SIN NUMERO,"AGUA, LUZ, SANITARIOS",40.0,150.0,OTATITLAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,OTATITLAN,18.176659,CASA DE CULTURA ÔNARCISA LOPEZ QUINTEROÖ,-96.034389
CONOCIDO,"AGUA, LUZ, SANITARIOS",125.0,500.0,OTATITLAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,OTATITLAN,18.179826,SALON KOY Ô DIF MUNICIPALÖ,-96.034048
BOULEVARD 5 DE MAYO ENTRE IGNACIO ALLENDE Y MIGUEL HIDALGO,"AGUA, LUZ, SANITARIOS",100.0,400.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOJALPAN,18.231656,AUDITORIO MUNICIPAL PROFESOR PEDRO MARTINEZ DAVALOS,-95.950075
AVENIDA CENTENARIO ESQUINA FRANCISCO JAVIER MINA,"AGUA, LUZ, SANITARIOS",100.0,150.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOJALPAN,18.23263,CASA DEL CAMPESINO,-95.950148
COLONIA 20 DE NOVIEMBRE CALLE LEYES DE REFORMA SIN NUMERO,"AGUA, LUZ, SANITARIOS",100.0,200.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOJALPAN,18.227577,CASA DEL PENSIONADO,-95.944054
AVENIDA CENTENARIO ESQUINA FRANCISCO JAVIER MINA Y CALLE MIGUEL HIDALGO,"AGUA, LUZ, SANITARIOS",100.0,400.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,ESCUELA,TLACOJALPAN,18.232671,ESCUELA PRIMARIA ESTATAL LEONA VICARIO,-95.950413
CALLE ALLENDE SIN NUMERO ENTRE BOULEVARD 5 DE MAYO Y MIGUEL HIDALGO NUMERO 34,"AGUA, LUZ, SANITARIOS",100.0,200.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOJALPAN,18.231213,SALON DE LA PEQUEÑA PROPIEDAD,-95.949538
BOULEVARD 5 DE MAYO ENTRE BELISARIO DOMINGUEZ,"AGUA, LUZ, SANITARIOS",100.0,400.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,ESCUELA,TLACOJALPAN,18.230633,TELEBACHILLERATO TLACOJALPAN,-95.944984
BOULEVARD 5 DE MAYO ENTRE GUADALUPE VICTORIA Y BELISARIO,"AGUA, LUZ, SANITARIOS",100.0,400.0,TLACOJALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,ESCUELA,TLACOJALPAN,18.230633,TELESECUNDARIA JUAN ESCUTIA,-95.944984
VENUSTIANO CARRANZA,"AGUA, LUZ, DRENAJE",58.0,240.0,TLACOTALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,ESCUELA,TLACOTALPAN,18.615306,ESCUELA NORMAL JUAN ENRIQUEZ,-95.648666
HERNAN CORTEZ Y BERNARDINO AGUIRRE,"AGUA, LUZ, DRENAJE",80.0,320.0,TLACOTALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOTALPAN,18.614344,D. TLACOTALPAN,-95.65798
VENUSTIANO CARRANZA,"AGUA, LUZ, DRENAJE",83.0,350.0,TLACOTALPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TLACOTALPAN,18.611841,CLUB DE LEONES,-95.657458
AVENIDA JUAREZ SIN NUMERO ZONA CENTRO,"AGUA, LUZ, DRENAJE",44.0,177.0,TUXTILLA,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,IGLESIA,TUXTILLA,18.239619,IGLESIA CATOLICA,-95.895111
AVENIDA JUAREZ SIN NUMERO ZONA CENTRO,"AGUA, LUZ, DRENAJE",45.0,180.0,TUXTILLA,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TUXTILLA,18.237473,SALON DE USOS MULTIPLES,-95.896096
AVENIDA PORFIRIO HERRERA RENDON SIN NUMERO ZONA CENTRO,"AGUA, LUZ, DRENAJE",27.0,111.0,TUXTILLA,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO FRANCISCO JAVIER SANCHEZ FENTANES,SALON,TUXTILLA,18.239563,SALON EJIDAL,-95.896452
CALLE PLAZA DE LA PIRAMIDE ESQUINA DEL CASTILLO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CASTILLO DE TEAYO,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SALON,CASTILLO DE TEAYO,20.7501495613,AUDITORIO MUNICIPAL,-97.6331223854
CALLE MOCTEZUMA ESQUINA CON PLAZA DE LA PIRAMIDE,"AGUA, LUZ, SANITARIOS",24.0,96.0,CASTILLO DE TEAYO,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,CASTILLO DE TEAYO,20.7509839468,IGLESIA CATOLICA SAN JOSE,-97.6337380506
CALLE FRANCISCO I.MADERO ESQUINA CON TUXPAN,"AGUA, LUZ, SANITARIOS",25.0,100.0,CASTILLO DE TEAYO,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,CASTILLO DE TEAYO,20.7509755565,IGLESIA PENTECOSTES JESUS EL BUEN PASTOR,-97.62990508
CALLE  IGNACIO ZARAGOZA ESQUINA CALLE TUXPAN,"AGUA, LUZ, SANITARIOS",10.0,40.0,CASTILLO DE TEAYO,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,CASTILLO DE TEAYO,20.7511363797,IGLESIA ADVENTISTA SEPTIMO DIA,-97.6306561315
CALLE  ZAPOTITLAN COLONIA ZAPOTITLAN,"AGUA, LUZ, SANITARIOS",44.0,176.0,CASTILLO DE TEAYO,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CASTILLO DE TEAYO,20.7490747859,TELESECUNDARIA ADOLFO LOPEZ MATEOS,-97.6273237619
DOMICILIO CONOCIDO,SIN DATO,125.0,500.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,REFORMA DE HERRERA KM 19,20.7833333333,AUDITORIO DE USOS MULTIPLES,-97.3130555556
DOMICILIO CONOCIDO,SIN DATO,50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,COYOL NORTE,20.7408333333,CASA DEL CAMPESINO,-97.2255555556
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,COYOL NORTE,20.7408333333,ESCUELA PRIMARIA HERMENEGILDO,-97.2255555556
DOMICILIO CONOCIDO,SIN DATO,25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,LA ENCANTADA,20.7333333333,CASA DEL CAMPESINO,-97.2630555556
DOMICILIO CONOCIDO,SIN DATO,8.0,30.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,LA ENCANTADA,20.7337771935,CENTRO DE SALUD,-97.2606908342
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",63.0,250.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,RANCHO NUEVO,20.6725,ESCUELA PRIMARIA AQUILES SERDAN,-97.2061111111
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",45.0,180.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,RANCHO NUEVO,20.6735188456,ESCUELA PRIMARIA SOR JUANA INES DE LA CRUZ,-97.2038413915
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,EL MARINO,20.7058333333,ESCUELA PRIMARIA CARLOS A. CARRILLO,-97.3525
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",8.0,30.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,EL MARINO,20.7057148625,JARDIN DE NIÑOS,-97.349607585
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,SAN ROMAN CHIQUITO,20.7841666667,ESCUELA PRIMARIA BENITO JUAREZ,-97.2716666667
DOMICILIO CONOCIDO,SIN DATO,50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,SAN ROMAN CHIQUITO,20.7841666667,IGLESIA CATOLICA,-97.2716666667
DOMICILIO CONOCIDO,SIN DATO,10.0,40.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,NARANJOS DE FUERA,20.7330555556,ESCUELA PRIMARIA JOSEROSAS MORENO,-97.3258333333
DOMICILIO CONOCIDO,SIN DATO,50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,NUEVO TAJAMANIL,20.7228000412,ESCUELA PRIMARIA FRANCISCO VILLA,-97.3931027874
DOMICILIO CONOCIDO,SIN DATO,50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,NUEVO TAJAMANIL,20.7227777778,IGLESIA CATOLICA,-97.3927777778
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,NUEVO TAJAMANIL,20.7227044912,TELESECUNDARIA,-97.3924686955
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CABELLA NUMERO 1,20.6763888889,ESCUELA PRIMARIA EMILIANO,-97.3233333333
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",20.0,50.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,LA CURVA,20.6825,ESCUELAPRIMARIA ADOLFO RUIZ CORTINEZ,-97.3502777778
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",20.0,80.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,LA UNION KM 31,20.6958333333,CASA DEL CAMPESINO,-97.3416666667
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,LA UNION KM 31,20.6962278394,ESCUELA PRIMARIA AMADO NERVO,-97.3403062532
DOMICILIO CONOCIDO,SIN DATO,30.0,120.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,LA UNION KM 31,20.6966095357,IGLESIA ADVENTISTA DEL 7MO.DIA,-97.3427150192
DOMICILIO CONOCIDO,SIN DATO,13.0,50.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,PASO DE CAZONES,20.7066666667,CASA DEL CAMPESINO,-97.3205555556
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,OJO DE AGUA,20.6922222222,ESCUELA PRIMARIA OCTAVIO PAZ,-97.2877777778
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",5.0,20.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,OJO DE AGUA,20.6922343059,CENTRO DE SALUD,-97.2863786362
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",60.0,240.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,PLAN DE LIMON,20.6622222222,TELESECUNDARIA,-97.2741666667
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",24.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,SIN DATO,PLAN DE LIMON,20.6627296259,IGLESIA CATOLICA,-97.2755369164
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",30.0,120.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,PLAN DE LIMON,20.6628237044,ESCUELA PRIMARIA LEOPOLDO K.,-97.2729965682
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,PLAN DE LIMON,20.6612729483,TELEBACHILLERATO,-97.2732680233
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CRUZ BLANCA NUMERO 1,20.64,ESCUELA PRIMARIA VENUSTIANO CARRANZA,-97.2788888889
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CRUZ BLANCA NUMERO 1,20.6401647419,JARDIN DE NIÑOS,-97.2775686835
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,VEGA DE PROGRESO,20.7072222222,ESCUELA PRIMARIA MIGUEL HIDALGO,-97.2552777778
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,OF. GOBIERNO,VEGA DE PROGRESO,20.7072503605,CASA DEL CAMPESINO,-97.2550393232
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,CENTRO DE SALUD,EL TORNO,20.7036111111,CASA DE SALUD,-97.2372222222
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,EL TORNO,20.703588565,IGLESIA CATOLICA,-97.2370589394
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",0.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,EL SAUCE,20.7280555556,IGLESIA CATOLICA,-97.3486111111
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,EL SAUCE,20.7281310692,TELESECUNDARIA,-97.3482443219
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,MANLIO FABIO ALTAMIRANO KM. 25,20.7488888889,ESCUELA PRIMARIA MANUEL ACUÑA,-97.3216666667
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,MANLIO FABIO ALTAMIRANO KM. 25,20.7488966408,IGLESIA CATOLICA,-97.3212619955
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,BUENA VISTA,20.7,ESCUELA PRIMARIA A. CARRILLO,-97.2094444444
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,BUENA VISTA,20.700014666,TELESECUNDARIA,-97.2091662014
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,RAMAL,20.7677777778,ESCUELA PRIMARIA JAIME TORRES B.,-97.2394444444
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",8.0,30.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,CASA PARTICULAR,RAMAL,20.7682135575,CASA DE LOS MAESTROS,-97.237879986
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",60.0,240.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,LA PIEDAD,20.6733333333,ESCUELA PRIMARIA RAFAEL R.,-97.3519444444
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",35.0,150.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,LA PIEDAD,20.673335404,CASA DEL CAMPESINO,-97.3517746742
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",13.0,50.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,REFORMA DE HERRERA,20.7834197795,ESCUELA PRIMARIA NACIONES UNIDAS,-97.3127277205
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,BARRA DE CAZONES,20.7222222222,ESCUELA PRIMARIA VICENTE GUERRERO,-97.2025
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,BARRA DE CAZONES,20.7222214754,TELESECUANDARIA LAZARO CARDENAS,-97.202111552
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",30.0,120.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,EMILIANO ZAPATA,20.6241666667,ESCUELA PRIMARIA LEONA VICARIO,-97.2813888889
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,IGLESIA,LIMON CHIQUITO,20.6802777778,IGLESIA CATOLICA,-97.2827777778
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,LIMON CHIQUITO,20.6802672149,TELESECUNDARIA,-97.2826587209
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",8.0,30.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CABELLA NUMERO 2,20.6838888889,ESCUELA PRIMARIA,-97.3088888889
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",18.0,70.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,MORISCO NUMERO 1,20.7305555556,ESCUELA PRIMARIA MIGUEL HIDALGO Y COSTILLA,-97.305
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,CERRO VERDE,20.6875,ESCUELA PRIMARIA BENITO JUAREZ,-97.2219444444
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,FELIPE ANGELES,20.7069444444,ESCUELA PRIMARIA,-97.3722222222
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",20.0,50.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,ESCUELA,MARCO ANTONIO MUÑOZ,20.76,ESCUELA PRIMARIA,-97.2055555556
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",8.0,30.0,CAZONES DE HERRERA,POZA RICA,VERACRUZ DE IGNACIO DE LA LLAVE,INGENIERO ROCIO PINEDA MARQUEZ,CENTRO DE SALUD,MARCO ANTONIO MUÑOZ,20.7600023459,CLINICA,-97.2054865678
